83,20
13,80
68,35
59,75
71,35
45,47 
61,52
1,75
43,78
50,3
88,42
2,59
54,40
28,75
24,62
20,65
23,81
68,26
6,13
35,16
17,22
69,84
66,34
76,66
87,91
16,99
100,68
45,40
87,96
14,73
50,66
99,94
33,10
82,81
68,94
73,92
48,18
95,84
77,75
58,44
34,43
70,43
8,83
35,30
65,15
61,10
67,3
27,10
72,92
24,88
3,13
93,79
24,26
5,32
9,81
83,86
41,48
17,32
89,96
41,37
26,29
13,19
17,65
52,33
95,53
42,96
33,95
91,22
93,58
48,55
64,95
7,87
8,10
59,12
66,9
75,66
41,20
36,30
60,67
12,75
96,74
76,87
5,92
25,49
75,60
42,31
21,3
78,68
82,66
64,27
99,39
22,76
9,94
92,64
49,4
88,9
75,93
88,29
60,77
81,53
